,id,client_id,product_id,rate
1,1,104,650,5
2,2,87,52,4
3,3,57,122,2
4,4,97,800,4
5,5,138,1250,3
6,6,29,294,2
7,7,7,265,1
8,8,95,885,5
9,9,124,220,4
10,10,35,650,3
11,11,141,669,5
12,12,53,668,4
13,13,42,1229,1
14,14,103,1123,1
15,15,9,12,2
16,16,99,713,2
17,17,145,1430,1
18,18,73,1207,1
19,19,122,1462,2
20,20,45,26,1
21,21,128,1019,2
22,22,7,1149,3
23,23,124,987,5
24,24,96,987,4
25,25,78,1411,2
26,26,4,482,2
27,27,34,1060,3
28,28,101,246,4
29,29,43,801,5
30,30,38,326,4
31,31,5,109,3
32,32,18,220,4
33,33,27,1045,1
34,34,111,1446,1
35,35,58,1257,2
36,36,149,982,3
37,37,102,915,4
38,38,16,720,5
39,39,101,118,2
40,40,3,1149,2
41,41,65,992,3
42,42,74,134,1
43,43,107,1103,1
44,44,11,731,4
45,45,17,976,5
46,46,43,172,3
47,47,96,929,3
48,48,65,819,5
49,49,100,1084,1
50,50,46,112,2
51,51,75,519,2
52,52,110,181,5
53,53,99,892,3
54,54,17,1239,1
55,55,83,330,3
56,56,91,417,4
57,57,139,965,3
58,58,63,638,1
59,59,53,1157,1
60,60,18,1422,2
61,61,11,365,4
62,62,69,1157,3
63,63,22,1137,5
64,64,37,86,4
65,65,105,504,3
66,66,58,907,4
67,67,70,308,4
68,68,28,203,2
69,69,64,83,4
70,70,90,747,1
71,71,21,1447,4
72,72,107,753,3
73,73,73,4,1
74,74,149,1329,3
75,75,129,1262,3
76,76,130,648,1
77,77,98,805,4
78,78,89,1416,1
79,79,53,349,4
80,80,60,1386,5
81,81,7,1345,4
82,82,125,1366,3
83,83,132,1437,2
84,84,102,568,4
85,85,81,114,3
86,86,38,447,1
87,87,85,1144,5
88,88,126,1319,3
89,89,26,1138,3
90,90,64,227,2
91,91,116,259,5
92,92,60,664,5
93,93,79,858,5
94,94,65,260,2
95,95,54,1193,4
96,96,102,821,3
97,97,9,58,5
98,98,107,1022,3
99,99,73,201,3
100,100,80,122,5
101,101,9,1029,5
102,102,81,969,4
103,103,18,69,4
104,104,143,913,3
105,105,125,902,1
106,106,128,275,5
107,107,79,92,5
108,108,131,300,5
109,109,58,1175,3
110,110,113,1262,3
111,111,124,1283,5
112,112,16,625,3
113,113,77,204,1
114,114,137,164,5
115,115,52,1068,4
116,116,64,644,3
117,117,138,682,5
118,118,74,472,4
119,119,129,529,3
120,120,6,47,1
121,121,68,976,1
122,122,8,1190,4
123,123,148,1198,4
124,124,88,948,2
125,125,2,374,5
126,126,139,937,1
127,127,105,144,4
128,128,135,757,1
129,129,5,120,5
130,130,120,217,4
131,131,14,157,5
132,132,131,166,5
133,133,143,815,3
134,134,148,1263,3
135,135,78,1254,4
136,136,54,766,3
137,137,103,313,2
138,138,85,396,5
139,139,95,1425,5
140,140,76,979,5
141,141,136,408,4
142,142,5,750,2
143,143,13,175,4
144,144,137,107,5
145,145,64,765,3
146,146,71,301,3
147,147,102,1382,1
148,148,89,70,5
149,149,127,746,1
150,150,95,109,4
151,151,6,1466,1
152,152,64,305,1
153,153,22,1126,4
154,154,111,477,1
155,155,81,492,1
156,156,142,475,3
157,157,68,1092,5
158,158,55,458,4
159,159,147,883,4
160,160,118,784,5
161,161,1,1422,3
162,162,41,1380,4
163,163,116,564,4
164,164,53,1064,5
165,165,19,1231,4
166,166,88,420,5
167,167,1,164,1
168,168,102,924,1
169,169,118,1007,1
170,170,119,1348,3
171,171,52,1057,1
172,172,69,770,1
173,173,106,279,5
174,174,33,95,2
175,175,11,1271,5
176,176,35,4,2
177,177,121,857,3
178,178,77,36,5
179,179,14,872,4
180,180,111,664,5
181,181,52,473,2
182,182,109,1052,4
183,183,56,768,4
184,184,82,128,2
185,185,47,1374,3
186,186,42,1247,1
187,187,48,1129,3
188,188,135,760,4
189,189,123,1262,5
190,190,13,1488,4
191,191,97,1184,2
192,192,24,1189,5
193,193,127,338,2
194,194,39,719,3
195,195,107,70,3
196,196,109,1060,4
197,197,44,1302,2
198,198,63,642,1
199,199,114,783,3
200,200,3,426,4
201,201,117,19,2
202,202,34,881,1
203,203,86,1261,1
204,204,124,1298,3
205,205,8,555,3
206,206,125,696,5
207,207,16,987,4
208,208,22,1236,2
209,209,34,469,4
210,210,110,160,5
211,211,137,570,1
212,212,74,1071,1
213,213,69,977,2
214,214,75,1346,2
215,215,143,350,4
216,216,136,701,4
217,217,12,263,3
218,218,14,1159,2
219,219,27,335,2
220,220,11,661,5
221,221,16,58,1
222,222,102,677,3
223,223,49,878,2
224,224,88,1380,2
225,225,34,349,1
226,226,148,1116,4
227,227,103,1392,5
228,228,36,1243,2
229,229,148,1120,1
230,230,92,521,3
231,231,129,683,5
232,232,87,1101,3
233,233,115,1451,1
234,234,18,296,5
235,235,4,643,3
236,236,23,1125,2
237,237,5,646,1
238,238,96,1191,5
239,239,78,1317,2
240,240,132,506,1
241,241,9,338,2
242,242,147,1234,3
243,243,8,1434,5
244,244,85,1436,1
245,245,4,172,5
246,246,73,99,1
247,247,127,56,1
248,248,9,234,1
249,249,31,1009,1
250,250,12,169,5
251,251,7,1217,1
252,252,41,1036,5
253,253,133,454,5
254,254,33,408,2
255,255,76,719,3
256,256,88,213,4
257,257,92,1105,2
258,258,35,639,4
259,259,50,1250,2
260,260,107,1036,2
261,261,142,1339,1
262,262,25,18,3
263,263,45,51,5
264,264,29,327,1
265,265,123,1334,5
266,266,77,759,2
267,267,23,737,2
268,268,20,1418,2
269,269,140,475,2
270,270,33,736,3
271,271,126,1205,5
272,272,92,1270,3
273,273,1,1031,2
274,274,6,140,3
275,275,12,449,1
276,276,139,1246,1
277,277,60,125,4
278,278,54,152,5
279,279,126,919,4
280,280,142,545,2
281,281,128,1282,4
282,282,89,729,2
283,283,25,396,2
284,284,49,1354,3
285,285,14,442,1
286,286,101,339,5
287,287,19,587,5
288,288,146,687,5
289,289,79,871,4
290,290,24,1241,1
291,291,78,386,3
292,292,89,803,5
293,293,101,941,4
294,294,18,502,2
295,295,12,48,5
296,296,118,1483,2
297,297,67,1029,5
298,298,63,884,3
299,299,6,762,5
300,300,82,936,2
301,301,97,555,1
302,302,82,1031,5
303,303,15,292,4
304,304,90,1353,4
305,305,36,823,5
306,306,90,25,3
307,307,56,1307,3
308,308,19,82,5
309,309,147,503,5
310,310,5,732,4
311,311,130,1223,4
312,312,15,418,5
313,313,37,362,3
314,314,130,1290,4
315,315,107,415,3
316,316,146,1151,1
317,317,100,33,1
318,318,13,1186,4
319,319,29,1094,4
320,320,81,941,3
321,321,27,832,5
322,322,123,871,3
323,323,106,1076,5
324,324,97,1311,2
325,325,91,112,3
326,326,93,109,1
327,327,59,621,4
328,328,83,250,5
329,329,55,739,1
330,330,136,1077,3
331,331,134,1091,4
332,332,122,251,3
333,333,76,809,4
334,334,142,1286,4
335,335,49,1127,2
336,336,118,858,1
337,337,87,1428,2
338,338,17,183,3
339,339,2,1314,3
340,340,112,1371,4
341,341,134,1094,1
342,342,110,670,3
343,343,7,865,1
344,344,47,330,3
345,345,102,1409,5
346,346,61,288,4
347,347,129,287,4
348,348,1,1060,4
349,349,96,225,5
350,350,148,196,2
351,351,17,231,2
352,352,112,1296,5
353,353,92,1429,4
354,354,20,489,5
355,355,70,1222,4
356,356,106,838,3
357,357,10,1073,3
358,358,143,1088,5
359,359,15,962,2
360,360,116,92,4
361,361,66,1211,4
362,362,79,939,1
363,363,7,547,3
364,364,29,854,3
365,365,83,523,1
366,366,83,815,1
367,367,136,1311,4
368,368,107,1015,4
369,369,38,427,4
370,370,63,1068,4
371,371,131,46,5
372,372,68,1458,4
373,373,58,887,2
374,374,101,1155,2
375,375,139,1060,4
376,376,90,28,4
377,377,45,867,4
378,378,66,501,2
379,379,95,735,3
380,380,74,1277,3
381,381,57,413,3
382,382,49,997,2
383,383,37,1443,3
384,384,129,992,1
385,385,9,603,5
386,386,19,560,1
387,387,115,986,3
388,388,145,403,2
389,389,29,712,2
390,390,22,1270,5
391,391,63,622,2
392,392,77,1321,2
393,393,9,574,4
394,394,100,880,3
395,395,10,448,1
396,396,134,380,4
397,397,28,908,3
398,398,97,406,5
399,399,120,793,2
400,400,18,134,1
